Mes,Regiao,Produto,Receita,Quantidade,Custo,Margem
2024-01,Norte,Software,120000,45,80000,40000
2024-01,Sul,Hardware,85000,30,55000,30000
2024-01,Sudeste,Servicos,200000,80,120000,80000
2024-01,Centro-Oeste,Software,65000,25,40000,25000
2024-01,Nordeste,Hardware,72000,28,48000,24000
2024-02,Norte,Software,135000,50,88000,47000
2024-02,Sul,Hardware,92000,35,60000,32000
2024-02,Sudeste,Servicos,215000,85,125000,90000
2024-02,Centro-Oeste,Software,72000,28,44000,28000
2024-02,Nordeste,Servicos,88000,35,52000,36000
2024-03,Norte,Software,142000,53,90000,52000
2024-03,Sul,Hardware,99000,37,62000,37000
2024-03,Sudeste,Servicos,228000,91,132000,96000
2024-03,Centro-Oeste,Software,78000,30,48000,30000
2024-03,Nordeste,Software,95000,38,58000,37000
2024-04,Norte,Software,155000,58,95000,60000
2024-04,Sul,Hardware,108000,40,67000,41000
2024-04,Sudeste,Servicos,245000,98,140000,105000
2024-04,Centro-Oeste,Software,85000,33,52000,33000
2024-04,Nordeste,Hardware,102000,40,64000,38000
2024-05,Norte,Software,163000,61,99000,64000
2024-05,Sul,Hardware,115000,43,71000,44000
2024-05,Sudeste,Servicos,258000,103,148000,110000
2024-05,Centro-Oeste,Software,91000,35,56000,35000
2024-05,Nordeste,Servicos,118000,47,72000,46000
2024-06,Norte,Software,175000,66,105000,70000
2024-06,Sul,Hardware,125000,47,77000,48000
2024-06,Sudeste,Servicos,275000,110,158000,117000
2024-06,Centro-Oeste,Software,98000,38,60000,38000
2024-06,Nordeste,Software,132000,52,80000,52000
